id,subj2_war,subj2_adventure,subj2_comedy,subj2_biography,subj2_romance,subj2_drama,subj2_fantasy,subj2_family,subj2_sciencefiction,subj2_action,subj2_thriller,subj2_western,subj2_horror,subj2_mystery,subj2_crime,subj2_history,subj2_periodicals,subj2_others,speed,sentiment_avg,sentiment_vol,wordcount
PG10002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.2241414,.087370001,.0027005803,50831
PG10005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.22196563,.13181999,.0033936689,70142
PG10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.38819912,.18371999,.0010032088,13193
PG10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.30165625,.15722001,.0028950982,27980
PG10008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.20483807,.10778,.0036551144,65421
PG10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.24727224,.13812,.0035032306,44090
PG10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.22152884,.1903,.0046394328,50164
PG10024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.24338019,.14034,.0029404177,49162
PG10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.23337372,.11768,.0061893067,65492
PG10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.40594372,.12509,.00068716571,12396
PG10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.19058849,.11382,.0029392724,71167
PG10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.21757492,.17283,.0047826548,65680
PG10038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.15135418,.11507,.0062571173,149555
PG10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.19804817,.16541,.0046297237,71802
PG10045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.24997534,.12564,.002200027,36826
PG10046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.18807617,.12179,.0047842548,91465
PG10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.22054893,.1363,.0035774121,41792
PG10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.27646327,.14582001,.0040304167,27185
PG10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.27579117,.16728,.0029025951,26733
PG10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.24637832,.13428,.0051826942,41720
PG10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.25610742,.12034,.0030882342,35310
PG10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.19992973,.12526,.0060204393,85052
PG10057,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.22149143,.14015,.0038549085,50680
PG10059,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.22686775,.14196,.0028266229,48105
PG10062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.16303369,.12716,.0063085803,140874
PG10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.16167097,.14611,.0084179295,173197
PG10066,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.1858943,.12163,.0045393901,79660
PG10067,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.21415074,.12027,.0037868146,67663
PG10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.17379078,.1193,.0048976671,90769
PG10070,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.33748603,.09313,.0030549837,27983
PG10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.42040205,.13282999,.00074965559,12252
PG10076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.19538786,.12288,.0056042494,76375
PG10081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.22010477,.10715,.0035980586,50315
PG10082,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.19740775,.10462,.0055982745,107345
PG10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.20022777,.08405,.0026992196,65472
PG10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.20926854,.14532,.0092719346,90443
PG10086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.16751049,.1109,.0043113451,85051
PG10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.26680255,.11504,.0021288942,31060
PG10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.25752032,.1322,.004630473,47907
PG10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.19344036,.12696999,.0054587713,80925
PG10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.2012873,.13094001,.0039045336,79944
PG10101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.27533054,.1288,.0037606156,38711
PG10109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.21889929,.12842,.0029348605,50244
PG10110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.19172378,.14266001,.0046904157,64101
PG10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.22795075,.14922,.0037795058,48942
PG10123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.21561915,.15814,.0030533802,51026
PG10124,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.24976179,.14347,.0035515646,42868
PG10127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.28480712,.13469,.0024851358,31074
PG1013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.21860208,.085179999,.0034902461,68083
PG10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.17659722,.15087,.0066123744,106243
PG10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.20253874,.12975,.004306538,70807
PG1014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.27693605,.11356,.0027449855,28467
PG10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.20116417,.15056001,.0037386566,63531
PG10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.15354234,.16644,.0075557446,153520
PG10150,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.23143446,.11178,.0046774768,56616
PG10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.23957536,.1357,.0037950506,42334
PG10165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.1864263,.12754001,.0075964564,163460
PG1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.23792882,.12642001,.0062851016,67454
PG102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.24867244,.13318001,.0042498014,52465
PG10201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1856668,.12932,.0068431194,116964
PG10210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.18904272,.1205,.0057939487,93760
PG10211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.21140827,.13610999,.0024674186,45231
PG10212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.25215143,.076779999,.0023836673,55251
PG10213,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.16914339,.11041,.0059636864,111942
PG10220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.38990337,.11303,.0026986527,13461
PG10221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.19246742,.14954001,.0051186313,87028
PG10222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.17871721,.16655999,.0061231288,119880
PG10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.33987969,.1512,.0040789074,22778
